procedure_name_en,procedure_year,procedure_number,instance_date,actual_worth,procedure_area,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,area_id,area_name_en,actual_area,property_total_value,actual_area_missing
Property Evaluation,2016,5698,2016-11-01T00:00:00.000Z,1.5299942E7,1672.25,1,Land,62,Commercial,301,Al Nahda Second,1672.25,1.5299942E7,false
Property Evaluation,2017,5104,2017-08-15T00:00:00.000Z,2124793.0,131.6,3,Unit,60,Flat,330,Marsa Dubai,131.6,2124793.0,false
Property Evaluation,2016,4941,2016-09-27T00:00:00.000Z,5.20686912E8,189699.78,1,Land,62,Commercial,334,Al Jadaf,270211.91,5.20686912E8,false
Property Evaluation,2016,5036,2016-10-04T00:00:00.000Z,449448.0,64.14,3,Unit,60,Flat,343,Al Warsan First,64.14,449448.0,false
Property Evaluation,2017,4553,2017-07-16T00:00:00.000Z,896288.0,69.39,3,Unit,42,Office,443,Al Thanyah First,69.39,896288.0,false
Property Evaluation,2017,6316,2017-10-15T00:00:00.000Z,4700429.0,2298.34,1,Land,63,Residential,465,Wadi Al Safa 3,2298.34,4700429.0,false
Property Evaluation,2017,6614,2017-10-26T00:00:00.000Z,419792.0,39.0,3,Unit,23,Shop,343,Al Warsan First,39.0,419792.0,false
Property Evaluation,2017,335,2017-01-15T00:00:00.000Z,7515016.0,1393.55,1,Land,63,Residential,370,Um Suqaim Third,1393.55,7515016.0,false
Property Evaluation,2017,1330,2017-02-20T00:00:00.000Z,9498377.0,2941.43,1,Land,63,Residential,452,Al Hebiah Second,2941.43,9498377.0,false
Property Evaluation,2017,854,2017-02-02T00:00:00.000Z,3519795.0,81.75,3,Unit,101,Hotel Apartment,390,Burj Khalifa,81.75,3519795.0,false
Property Evaluation,2017,235,2017-01-10T00:00:00.000Z,1.4E7,303.61,1,Land,62,Commercial,362,Naif,303.61,1.4E7,false
Property Evaluation,2017,5950,2017-10-03T00:00:00.000Z,1.2E7,918.9,1,Land,63,Residential,233,Hor Al Anz,918.9,1.2E7,false
